,Year,Country,Region,Artist,Song,Artist.gender,Group.Solo,Place,Points,Home.Away.Country,Home.Away.Region,Is.Final,Semi.Final.Number,Song.In.English,Song.Quality,Normalized.Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
23,2009,United Kingdom,Independent,Jade Ewen ,It's My Time,Female,Solo,5,173,Away,Away,1,NA,1,4.453836097,0.0710180624,0.499294628,197.47374,0.1613206673,0.3032600373,96.842,0.0300224321,4,0.1056174329,4,1,-6.903,0.1201140717,5.506521739
24,2009,Finland,Scandinavia,Waldo's People ,Lose Control,Both,Group,25,22,Away,Away,1,NA,1,0.5735942375,0.009031198686,0.9723666925,182.16599,0.007420436192,0.5801432166,137.996,0.06279525139,7,0.1697075183,4,1,-5.088,0.7021049239,NA
25,2009,Spain,Western Europe,Soraya Arnelas ,La noche es para m,Female,Solo,23,23,Away,Away,1,NA,1,0.3480773452,0.009441707718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,Romania,Former Socialist Bloc,Nico and Vlad,Pe-o margine de lume,Both,Group,20,45,Away,Away,1,NA,0,1.068211391,0.01804330393,0.6306181129,180.06204,0.2265921204,0.4410850065,74.84,0.04637013841,2,0.1646408619,4,1,-6.447,0.1841608818,NA
27,2008,United Kingdom,Independent,Andy Abraham,Even If,Male,Solo,25,14,Away,Away,1,NA,1,0.6072502128,0.005613472334,0.9277741052,224.07837,0.01228639351,0.6170018853,119.983,0.05477740594,8,0.04404932162,4,0,-6.657,0.6429116626,5.366282723
28,2008,Albania,Former Socialist Bloc,Olta Boka,Zemr´n E Lam´ Peng,Female,Solo,17,43,Away,Away,1,NA,0,0.9595543086,0.02205292702,0.6111601394,178.93687,0.1072404855,0.3884940916,88.152,0.02711931999,8,0.2333534875,7,1,-4.845,0.494869909,NA
29,2008,Germany,Western Europe,No Angels,Disappear,Female,Group,23,14,Away,Away,1,NA,1,0.4810722808,0.005613472334,0.6311085121,198.04844,0.007099462677,0.7071601648,122.768,0.05748577529,8,0.1078973303,4,1,-5.845,0.4695698061,5.219626866
30,2008,Armenia,Former Socialist Bloc,Sirusho,"Qele, Qele",Female,Solo,4,198,Away,Away,1,NA,1,4.632470303,0.0797914996,0.756131788,214.18041,0.1122865195,0.6619193321,128.119,0.0886907557,9,0.1127627102,4,0,-6.312,0.5850436632,NA
31,2008,Bosnia and Herzegovina,Former Yugoslavia,Laka,Poku_aj,Male,Solo,10,105,Away,Home,1,NA,0,2.510534379,0.04410585405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,Israel,Independent,Boaz Ma'uda,The Fire in Your Eyes,Male,Solo,9,124,Away,Away,1,NA,1,2.907756126,0.04971932638,0.4907213375,180.57333,0.06958511334,0.1837187462,79.767,0.03473545412,6,0.3855491571,4,0,-6.277,0.1692270919,NA
33,2008,Finland,Scandinavia,TerÊsbetoni,Miss_ Miehet Ratsastaa,Male,Group,22,35,Away,Away,1,NA,0,0.8856629733,0.01403368083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2008,Croatia,Former Yugoslavia,Kraljevi Ulice and 75 cents,Romanca,Both,Group,21,42,Away,Home,1,NA,0,0.9307624292,0.01764234162,0.6077579116,181.81333,0.1373437221,0.7142954595,124.084,0.1653196976,0,0.1075480107,4,1,-7.724,0.4810290451,NA
35,2008,Poland,Former Socialist Bloc,Isis Gee,For Life,Female,Solo,24,14,Away,Away,1,NA,1,0.2530423095,0.005613472334,0.7056357457,180.84671,0.1335195777,0.5226797334,140.1,0.03360415076,11,0.1107374505,4,1,-8.026,0.3806811887,5.629189189
36,2008,Iceland,Scandinavia,Euroband,This is My Life,Both,Group,14,64,Away,Away,1,NA,1,1.574360392,0.02566158781,0.9067515757,245.89887,0.00143582455,0.7023582655,127.973,0.03522657742,10,0.08249008463,4,0,-8.194,0.7321639516,NA
37,2008,Turkey,Independent,Mor ve _tesi,Deli,Male,Group,7,131,Away,Away,1,NA,0,3.004663086,0.05533279872,0.8697779966,183.08163,0.03769673988,0.3864391883,151.107,0.05543169194,4,0.1702435693,4,0,-4.447,0.2761840993,NA
38,2008,Portugal,Western Europe,VÑnia Fernandes,Senhora do mar (Negras _guas),Female,Solo,13,69,Away,Away,1,NA,0,1.729329311,0.02766639936,0.5576887922,184.83048,0.3761828403,0.3028268659,104.781,0.05062288174,9,0.349508994,3,1,-6.542,0.1537540898,NA
39,2008,Latvia,Former Socialist Bloc,Pirates of the Sea,Wolves of the Sea,Both,Group,12,83,Away,Away,1,NA,1,1.98555248,0.03327987169,0.8848480535,184.20354,0.002813368977,0.5502790469,72.512,0.05056018208,9,0.3358020162,4,1,-11.77,0.3871775506,5.28
40,2008,Sweden,Scandinavia,Charlotte Perrelli,Hero,Female,Solo,18,47,Away,Away,1,NA,1,1.187032956,0.01884522855,0.9062452365,175.26376,0.004618086933,0.6160442993,126.995,0.03905640081,11,0.2169658349,4,1,-5.34,0.6664445292,5.525801527
41,2008,Denmark,Scandinavia,Simon Mathew,All Night Long,Male,Solo,15,60,Away,Away,1,NA,1,1.548814005,0.02405773857,0.7246382888,173.83293,0.003838946199,0.6877902371,122.978,0.03424842229,6,0.3450828939,4,0,-5.154,0.7271905038,6.015714286
42,2008,Georgia,Former Socialist Bloc,Diana Gurtskaya,Peace Will Come,Female,Solo,11,83,Away,Away,1,NA,1,1.846104834,0.03327987169,0.6063693561,183.68109,0.06596034265,0.5809441826,76.991,0.03283440069,5,0.1364562764,4,0,-4.608,0.4760561381,5.272054795
43,2008,Ukraine,Former Socialist Bloc,Ani Lorak,Shady Lady,Female,Solo,2,226,Away,Away,1,NA,1,5.173206251,0.09222133119,0.7154636973,178.71782,0.03081284459,0.7083929198,127.935,0.07235068042,6,0.1136159761,4,0,-5.709,0.7778550652,NA
44,2008,France,Western Europe,S_bastien Tellier,Divine,Male,Solo,19,47,Away,Away,1,NA,1,1.092848411,0.01884522855,0.8674693673,181,0.1825787689,0.5677908612,142.019,0.03323270855,10,0.2455262765,4,1,-5.557,0.2425700006,NA
45,2008,Azerbaijan,Former Socialist Bloc,Elnur and Samir,Day After Day,Both,Group,8,124,Away,Away,1,NA,1,3.038035579,0.05292702486,0.68763045,188.22639,0.02657054697,0.5874282732,108.018,0.04525932204,6,0.1251311461,4,1,-9.139,0.459717999,NA
46,2008,Greece,Western Europe,Kalomira,Secret Combination,Female,Solo,3,215,Away,Away,1,NA,1,4.849319593,0.08740978348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2008,Spain,Western Europe,Rodolfo Chikilicuatre,Baila el Chiki-chiki,Male,Solo,16,55,Away,Away,1,NA,1,1.126558536,0.02205292702,0.8634101991,173.8068,0.0004133133778,0.8514939054,96.992,0.171342212,10,0.05802199071,4,0,-5.907,0.8489256414,5.003611111
48,2008,Serbia,Former Yugoslavia,Jelena Toma?evi?,Oro,Female,Solo,6,150,Home,Home,1,NA,0,3.461662908,0.06415396953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2008,Russia,Former Socialist Bloc,Dima Bilan,Believe,Male,Solo,1,266,Away,Away,1,NA,1,6.096743694,0.1090617482,0.5143679995,185.11782,0.1126985693,0.5395760238,66.815,0.04400050116,8,0.1593158137,4,1,-11.799,0.223983627,NA
50,2008,Norway,Scandinavia,Maria Haukaas Storeng,Hold On Be Strong,Female,Solo,5,182,Away,Away,1,NA,1,4.413915171,0.07297514034,0.7388555795,185.17007,0.0236930999,0.5537488292,92.021,0.02548060126,6,0.2979423743,4,0,-4.464,0.7474376641,5.275714286
51,2007,Bosnia and Herzegovina,Former Yugoslavia,Marija,Rijeka bez imena,Female,Solo,11,106,Away,Away,1,NA,0,2.458456111,0.04351395731,0.5141788887,185.88689,0.3400254526,0.5038827983,78.993,0.03917834745,2,0.1439297467,4,1,-8.707,0.2535468726,5.098709677
52,2007,Spain,Western Europe,D'NASH,I Love You Mi Vida,Male,Group,20,43,Away,Away,1,NA,1,0.7631413753,0.01765188834,0.946414694,180.09351,0.01148208201,0.4639043769,83.407,0.08539405625,7,0.4181155152,3,1,-5.943,0.6484564727,5.264322034
53,2007,Belarus,Former Socialist Bloc,Dmitry Koldun,Work Your Magic,Male,Solo,6,145,Away,Away,1,NA,1,3.525133633,0.05952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2007,Ireland,Independent,Dervish,They Can't Stop The Spring,Both,Group,24,5,Away,Away,1,NA,1,0.1698741579,0.002052545156,0.6969265984,172.66893,0.08519536681,0.30406651,85.427,0.03639084672,0,0.09493141,4,1,-6.53,0.4723873328,4.837113402
55,2007,Finland,Scandinavia,Hanna Pakarinen,Leave Me Alone,Female,Solo,17,53,Away,Home,1,NA,1,1.293894309,0.02175697865,0.8577347367,213.97333,0.005513079535,0.5213600714,106.037,0.03722914604,6,0.4864450242,3,0,-7.004,0.28393285,NA
56,2007,Macedonia,Former Yugoslavia,Karolina,Mojot svet,Female,Solo,14,73,Away,Away,1,NA,1,1.707584424,0.02996715928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
